"id_realty_input","realty_type","realty_condition","realty_value","realty_cond","realty_iptu","realty_area","realty_rooms","realty_baths","realty_parking","total_cost","value_area"
"225635","Apartamento Padrão","alugar",6000,1639.2,494,120,3,2,2,8133.2,67.7766666666667
"220206","Casa térrea","alugar",2800,NA,555.19,120,3,1,1,NA,NA
"220816","Apartamento Padrão","alugar",2200,750,31.55,54,1,1,1,2981.55,55.2138888888889
"224222","Apartamento Padrão","alugar",3000,816,53.45,97,2,2,1,3869.45,39.8912371134021
"50259","Apartamento Padrão","alugar",1600,351.74,63.74,1,1,1,NA,2015.48,2015.48
"225880","Apartamento Padrão","alugar",5000,1007.15,275.36,66,2,2,1,6282.51,95.1895454545454
"225879","Apartamento Studio","alugar",3400,1222,73,37,1,1,1,4695,126.891891891892
"79859","Apartamento Padrão","alugar",2100,1553.67,469.19,85,2,2,2,4122.86,48.5042352941177
"225877","Apartamento Padrão","alugar",3000,1450,281.16,92,1,NA,NA,4731.16,51.425652173913
"201321","Apartamento Padrão","alugar",3500,814.26,53.16,82,2,1,2,4367.42,53.2612195121951
"157468","Apartamento Padrão","alugar",2700,526.07,169.57,90,2,1,NA,3395.64,37.7293333333333
"167772","Apartamento Padrão","alugar",4800,775.3,270.1,61,2,2,1,5845.4,95.8262295081967
"164262","Apartamento Padrão","alugar",2600,693.67,28.41,70,2,1,1,3322.08,47.4582857142857
"147929","Apartamento Padrão","alugar",2200,523,60.75,36,1,1,1,2783.75,77.3263888888889
"225887","Apartamento Padrão","alugar",3700,1462,557.39,233,3,2,2,5719.39,24.5467381974249
"225820","Apartamento Padrão","alugar",1500,895.39,NA,46,2,1,NA,NA,NA
"225333","Apartamento Padrão","alugar",3500,1041,258.95,60,2,2,1,4799.95,79.9991666666667
"225979","Apartamento Padrão","alugar",2000,600,116.27,50,2,1,1,2716.27,54.3254
"225975","Apartamento Padrão","alugar",3300,1280,280,70,2,2,1,4860,69.4285714285714
"226001","Apartamento Padrão","alugar",2500,536.84,52.35,65,2,2,1,3089.19,47.526
"225758","Apartamento Padrão","alugar",1730,260,66.04,33,2,1,1,2056.04,62.3042424242424
"156191","Apartamento Padrão","alugar",1050,1005,NA,60,2,1,1,NA,NA
